Time,Left Shoulder Angle,Right Shoulder Angle,Left Elbow Angle,Right Elbow Angle,Left Hip Angle,Right Hip Angle,Left Knee Angle,Right Knee Angle,"x, y Left Shoulder","x, y Right Shoulder","x, y Left Elbow","x, y Right Elbow","x, y Left Hip","x, y Right Hip","x, y Left Knee","x, y Right Knee","x, y Left Wrist","x, y Right Wrist","x, y Left Ankle","x, y Right Ankle","x, y Nose","x, y Shoulder Spine","x, y Hip Spine",Spine Angle,Leaning
0.0,30.832921660145093,45.54427725710708,149.73188626492043,168.93960006173634,129.9224558530891,136.05047148418743,207.7875413529925,199.9320316462294,"0.5264953970909119, 0.3666536808013916","0.548701822757721, 0.3893715739250183","0.5261542797088623, 0.4735085368156433","0.5831146240234375, 0.5177811980247498","0.4134035110473633, 0.5678620934486389","0.4220030903816223, 0.5792202353477478","0.46563720703125, 0.7268258333206177","0.45904749631881714, 0.7547281980514526","0.563389241695404, 0.5581879019737244","0.6242411136627197, 0.6114853620529175","0.45650315284729004, 0.9013190269470215","0.4405679702758789, 0.9327476620674133","0.6198738813400269, 0.38395988941192627","0.538, 0.378","0.418, 0.574",-58.48396836921651,Forward
0.0333667000333667,29.92955125981073,44.557479768094986,146.49382814201766,168.89445286034152,130.33189274592792,137.75304549829056,204.83482592085903,199.49241680589185,"0.5210413336753845, 0.36546117067337036","0.5493164658546448, 0.38893842697143555","0.5261521339416504, 0.4772849678993225","0.5829422473907471, 0.5212334394454956","0.4125711917877197, 0.5699541568756104","0.4316352307796478, 0.5858681797981262","0.46554088592529297, 0.7266612648963928","0.46174025535583496, 0.7555619478225708","0.5763214230537415, 0.5616488456726074","0.6245424151420593, 0.6141242384910583","0.4629262089729309, 0.8894258737564087","0.43830472230911255, 0.9292595982551575","0.6193587779998779, 0.3837926983833313","0.535, 0.377","0.422, 0.578",-60.60419404246744,Forward
0.0667334000667334,29.36879012300699,43.7029594556893,144.13458681252817,168.76613438260554,130.74575073169245,139.15304280040067,202.37287860812637,199.13580147957703,"0.5146557092666626, 0.3635061979293823","0.550935685634613, 0.388896644115448","0.517940878868103, 0.4729972779750824","0.5823973417282104, 0.5228871703147888","0.40627771615982056, 0.5717251300811768","0.43688488006591797, 0.5914239287376404","0.46548008918762207, 0.7242900133132935","0.4632112383842468, 0.7580105662345886","0.5781112909317017, 0.5431188344955444","0.625002384185791, 0.6156003475189209","0.4645044803619385, 0.8787566423416138","0.437639057636261, 0.9292947053909302","0.6182553172111511, 0.38372835516929626","0.533, 0.376","0.422, 0.582",-61.56340629783688,Forward
0.1001001001001001,29.125607958046963,42.972709925481695,142.59355170485537,168.5605329963613,131.161205150383,140.2681979066241,200.37575585278407,198.857112805866,"0.5138301253318787, 0.36339840292930603","0.5521074533462524, 0.3884750008583069","0.5175168514251709, 0.473008394241333","0.5819401741027832, 0.5228137969970703","0.4048018455505371, 0.5717546343803406","0.43965768814086914, 0.5920813679695129","0.46532368659973145, 0.7239872217178345","0.4643530249595642, 0.7592108249664307","0.5801664590835571, 0.5444080829620361","0.6251724362373352, 0.6159808039665222","0.46457749605178833, 0.8801663517951965","0.4371204972267151, 0.9293810725212097","0.6171876788139343, 0.38372597098350525","0.533, 0.376","0.422, 0.582",-61.73677517730935,Forward
0.1334668001334668,29.174974473243758,42.35872478306383,141.81011224740277,168.28353706944168,131.5754313419999,141.11624533306716,198.8175140928218,198.65127792333996,"0.5132488012313843, 0.36329764127731323","0.5540950298309326, 0.38841700553894043","0.5163407921791077, 0.4736042618751526","0.5812886953353882, 0.5226763486862183","0.4032650589942932, 0.5716215968132019","0.44166597723960876, 0.5914891958236694","0.464871346950531, 0.7227002382278442","0.4686300754547119, 0.7573166489601135","0.5795676708221436, 0.5477858185768127","0.6254868507385254, 0.616782546043396","0.4644066393375397, 0.8776151537895203","0.43643736839294434, 0.9293217658996582","0.6171093583106995, 0.3834989368915558","0.534, 0.376","0.422, 0.582",-61.60304677859005,Forward
0.1668335001668335,29.49185937691045,41.852997634027375,141.7236578685738,167.9410349696796,131.98560464654332,141.71491959583625,197.67220976622923,198.51322397057984,"0.5111662149429321, 0.3628726601600647","0.5546917915344238, 0.3890778422355652","0.5166782140731812, 0.4723381996154785","0.5812919735908508, 0.522580087184906","0.40158432722091675, 0.5715221762657166","0.44150853157043457, 0.5915650725364685","0.4625232219696045, 0.7189182043075562","0.4690317213535309, 0.7523689866065979","0.5793519020080566, 0.5438982248306274","0.625622034072876, 0.6175317764282227","0.4640769958496094, 0.8708146214485168","0.4364674687385559, 0.9270731210708618","0.616902232170105, 0.3825047016143799","0.533, 0.376","0.422, 0.582",-61.54995233019407,Forward
0.2002002002002002,30.05123237736016,41.447522083964,142.27357799677196,167.53891506490788,132.38890040401367,142.08195521103767,196.913899310996,198.4378780861668,"0.5111497640609741, 0.3628852963447571","0.5545877814292908, 0.38956910371780396","0.5208098888397217, 0.47251734137535095","0.5812413692474365, 0.5225237607955933","0.40204983949661255, 0.5716968178749084","0.4403398633003235, 0.592208981513977","0.4623648524284363, 0.7183840274810791","0.46905452013015747, 0.7503081560134888","0.5819767117500305, 0.5335383415222168","0.6257113814353943, 0.6178244352340698","0.46401548385620117, 0.8725084066390991","0.4360359311103821, 0.9263852834701538","0.616916835308075, 0.38143742084503174","0.533, 0.376","0.421, 0.582",-61.50559704598647,Forward
0.2335669002335669,30.82806318290597,41.13429173846535,143.39926206040064,167.0830657229595,132.78249395441117,142.23508669477778,196.51663916511168,198.420167408682,"0.5117831826210022, 0.3636152148246765","0.5545434951782227, 0.3897493779659271","0.5208829641342163, 0.47232118248939514","0.5806044340133667, 0.5219375491142273","0.40398097038269043, 0.5738198757171631","0.43964844942092896, 0.5936786532402039","0.46326637268066406, 0.7236794829368591","0.4689963459968567, 0.7534670829772949","0.5811033248901367, 0.5287337899208069","0.6257980465888977, 0.6177420020103455","0.46205252408981323, 0.8774725198745728","0.43555760383605957, 0.9264644384384155","0.6171837449073792, 0.3803451955318451","0.533, 0.377","0.422, 0.584",-61.73120880681859,Forward
0.2669336002669336,31.797321501860985,40.90530020312312,145.04009948786336,166.57937531166726,133.16356063773614,142.19204856316293,196.45448576656597,198.4550190767064,"0.5119737386703491, 0.3634571433067322","0.5545324087142944, 0.39131173491477966","0.5209691524505615, 0.4734676480293274","0.5802854895591736, 0.521903395652771","0.4026956558227539, 0.5736916065216064","0.4392593801021576, 0.594904899597168","0.46300292015075684, 0.7244420051574707","0.468716561794281, 0.7565449476242065","0.5806601643562317, 0.5390740036964417","0.6262761950492859, 0.618630051612854","0.4610908627510071, 0.8801482319831848","0.43524059653282166, 0.9265449643135071","0.6168185472488403, 0.3800670802593231","0.533, 0.377","0.421, 0.584",-61.51486086738569,Forward
0.3003003003003003,32.933977042538295,40.75254108352895,147.13547970756352,166.0337321988641,133.52927579398883,141.9705753322994,196.70149555334848,198.53736022882117,"0.5116060376167297, 0.36361175775527954","0.5544738173484802, 0.3928164839744568","0.5227852463722229, 0.47335726022720337","0.5796818733215332, 0.5218541026115417","0.4027283787727356, 0.5750600099563599","0.4389514923095703, 0.5964816212654114","0.4613344669342041, 0.7258709669113159","0.4682871401309967, 0.756468653678894","0.5807853937149048, 0.5361818075180054","0.6268612146377563, 0.6192963719367981","0.4610634744167328, 0.8807917833328247","0.43525728583335876, 0.9266871213912964","0.6161382794380188, 0.38008904457092285","0.533, 0.378","0.421, 0.586",-61.60544589180308,Forward
